Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1,Text Area 2,argument_public,argument_referent,be_developed,be_instanciated,description_module_reference,family,file_module_reference,id,module_reference,number_link,summary,type
1,Page,,,,,,,,,Full,,,,,,,,,,,,,
2,MinimalTextBlock,Default,1,,,,,,,"Questions:

1) To what extend we need transparency in order to ensure a ML system? 
2) How  we can use performance evidences to support safety evidences?
3) Is it enough to be as least as good as human expert?",,,,,,,,,,,,,
3,Text,Default,1,,,,,,,"Challenges for AI in medical images interpretations:
1)   AI (typically trained on hundreds of thousands of examples from one canonical dataset) must generalize to new populations and devices without a substantial loss of performance, and without prohibitive data requirements for retraining. 
2)  AI tools must be applicable to real-world scans, problems and pathways, and designed for clinical evaluation and deployment 
3)  AI tools must match or exceed the performance of human experts in such real-world situations.  ",,,,,,,,,,,,,
4,User Image,User Images,1,,,,,,,,,,,,,,,,,,,,
5,User Image,User Images,1,,,,,,,,,,,,,,,,,,,,
6,Imported Shape,,1,,,,,,,Classification network,The classification network achieves and in some cases exceed expert performance given the tissue-segmentation map as as input,true,,true,true,,goal,,Residual Risks ,,,Residual clinical risks from all identified hazards are accepted and managed ,1
7,Imported Shape,,1,,,,,,,ML Assurance,Automated Retinal Diagnosis is safe to be used in the defined clinical setting ,true,,true,true,,goal,,HIT Safety ,,,Health IT is safe to use in the defined care setting ,1
8,Imported Shape,,1,,,,,,,Clinical Setting,Clinical practice at Moorfields Eye Hospital,true,,true,true,,context,,HIT ,,,HIT Specifications ,2
9,Imported Shape,,1,,,,,,,Automated Retinal Diagnosis,A deep learning architecture comprising 2 different Neural Networks: segmentation & classification,true,,true,true,,context,,Care Setting ,,,Care Setting Description ,2
10,Imported Shape,,1,,,,,,,Assurance Strategy,Argument over the sufficiency of both networks and transition between them,,,true,true,,strategy,,Risk Strategy ,,,Argument based on HIT clinical risks ,1
11,Imported Shape,,1,,,,,,,Experts Profiles,"Experts comprise 4 retina specialists with respective 21, 21, 13 and 12 years of experience and 4 optometrists with respective 15, 9, 6 and 3 years of experience. ",true,,true,true,,context,,Clinical Risk Matrix ,,,Clinical Risk Matrix ,2
12,Imported Shape,,1,,,,,,,Legend,,,,,,,,,,,,,
13,Imported Shape,,1,,,,,,,{Goal Identifier},<Claim Statement>,true,,true,true,,goal,,{Goal Identifier} ,,,<Claim Statement> ,1
14,Imported Shape,,1,,,,,,,{Strategy Identifier},<Strategy Statement>,,,true,true,,strategy,,{Strategy Identifier} ,,,<Strategy Statement> ,1
15,Imported Shape,,1,,,,,,,{Context Identifier},<Context Statement>,true,,true,true,,context,,{Context Identifier} ,,,<Context Statement> ,2
16,Text,Default,1,,,,,,,Supported by,,,,,,,,,,,,,
17,Text,Default,1,,,,,,,In context of,,,,,,,,,,,,,
18,Imported Shape,,1,,,,,,,Performance ,"Using only OCT scan, network performance matched the 2 best retina specialists and outperformed all optometrists. ",true,,true,true,,goal,,Clinical Benefits ,,,Overriding clinical benefits outweigh the residual clinical risk and further control is not practicable ,1
19,Imported Shape,,1,,,,,,,Device independence evidence,An Area Under ROC Curve (AUC) of 99.21 and 99.93 for the first and the second device ,true,,true,true,,solution,,HL 1 ,,,Hazard Log (acceptable clinical risks) ,1
20,Imported Shape,,1,,,,,,,Training data,Training set comprises 14884 OCT scans obtained from 7621 patients who were referred to the hospital with macular pathology symptoms. Test set composed by 997 included in the gold standard. ,true,,true,true,,context,,Unacceptable Risk Levels ,,,Hazards associated with unacceptable levels of clinical risk ,2
21,Imported Shape,,1,,,,,,,Classification performance evidence,Figure 3 in the paper,true,,true,true,,solution,,HL 2 ,,,Hazard Log (unacceptable clinical risks) ,1
22,Decision,Flowchart Shapes,1,,,,,,,,,,,,,,,,,,,,
23,Text,Default,1,,,,,,,To be developed,,,,,,,,,,,,,
24,Imported Shape,,1,,,,,,,Inputs Data,3-dimensional volumetric medical imagining  (OCT) used in ophthalmology,true,,true,true,,context,,Care Setting ,,,Care Setting Description ,2
25,Imported Shape,,1,,,,,,,Segmentation network,"The segmentation network creates a detailed device-independent and human interpretable tissue-segmentation map
",true,,true,true,,goal,,Residual Risks ,,,Residual clinical risks from all identified hazards are accepted and managed ,1
26,Imported Shape,,1,,,,,,,Device independence,The segmentation network achieves device independence when retrained with images acquired by new devices,true,,true,true,,goal,,Residual Risks ,,,Residual clinical risks from all identified hazards are accepted and managed ,1
27,Imported Shape,,1,,,,,,,Outcome performance,The tissue-segmentation map is at least as good as human clinicians,true,,true,true,,goal,,Residual Risks ,,,Residual clinical risks from all identified hazards are accepted and managed ,1
28,Imported Shape,,1,,,,,,,Automated segmentation  evidence,Automated segmentation is compared with manual segmentation reporting the same results (Figure 2),true,,true,true,,solution,,HL 1 ,,,Hazard Log (acceptable clinical risks) ,1
29,Process,Flowchart Shapes,1,,,,,,,The devices used to record the OCT scan need to be monitored,,,,,,,,,,,,,
30,Text,Default,1,,,,,,,Monitor devices,,,,,,,,,,,,,
31,Imported Shape,,1,,,,,,,Analysis of the device use,The device used needs to be present in the set of the devices used to produce the images used in the training set,true,,true,true,,goal,,HIT Safety ,,,Health IT is safe to use in the defined care setting ,1
32,Imported Shape,,1,,,,,,,Responding to possible changes,"If the device used is not present in the set of the devices used to produce the images in the training set, the segmentation network has to be retrained with the new images acquired. ",true,,true,true,,goal,,HIT Safety ,,,Health IT is safe to use in the defined care setting ,1
33,Cloud,Geometric Shapes,1,,,,,,,,,,,,,,,,,,,,
34,Cloud,Geometric Shapes,1,,,,,,,,,,,,,,,,,,,,
35,Right Arrow,Geometric Shapes,1,,,,,,,,,,,,,,,,,,,,
36,Imported Shape,,1,,,,,,,"Sufficiency?

For each network and transition?
","
",true,,true,true,,context,,HIT ,,,HIT Specifications ,2
37,Imported Shape,,1,,,,,,,Segmentation Network Def,"The segmentation network uses a 3-dimensional U-Net architecture to translate the raw OCT scan into a tissue map with 15 classes including anatomy, pathology and image artefacts",true,,true,true,,context,,Care Setting ,,,Care Setting Description ,2
38,Imported Shape,,1,,,,,,,"Tissue-segmentation Map 
",Tissue-segmentation map is used for identifying relevant features in the scans for the diagnosis,true,,true,true,,context,,HIT ,,,HIT Specifications ,2
39,Text,Default,1,,,,,,,Human,,,,,,,,,,,,,
